  ENTRY        TAWCPI           TAWEX          USCPI
 1962:11  21.450000000000 45.000000000000 24.206181000000
 1962:12  21.300000000000 46.250000000000 24.179610000000
 1963:01  21.490000000000 46.350000000000 24.206181000000
 1963:02  21.510000000000 46.800000000000 24.232752000000
 1963:03  21.570000000000 43.700000000000 24.259323000000
 1963:04  21.700000000000 41.600000000000 24.259323000000
 1963:05  21.510000000000 42.000000000000 24.259323000000
 1963:06  21.330000000000 41.200000000000 24.365607000000
 1963:07  21.050000000000 43.000000000000 24.471891000000
 1963:08  21.100000000000 41.000000000000 24.471891000000
 1963:09  21.770000000000 40.800000000000 24.471891000000
 1963:10  21.740000000000 40.750000000000 24.498462000000
 1963:11  21.480000000000 42.650000000000 24.525033000000
 1963:12  21.420000000000 42.750000000000 24.578175000000
 1964:01  21.450000000000 43.250000000000 24.604746000000
 1964:02  21.480000000000 44.100000000000 24.578175000000
 1964:03  21.410000000000 43.100000000000 24.604746000000
 1964:04  21.270000000000 43.750000000000 24.631317000000
 1964:05  21.360000000000 44.000000000000 24.631317000000
 1964:06  21.180000000000 45.600000000000 24.684459000000
 1964:07  21.030000000000 46.000000000000 24.737601000000
 1964:08  21.240000000000 44.600000000000 24.711030000000
 1964:09  21.540000000000 47.000000000000 24.764172000000
 1964:10  21.870000000000 47.100000000000 24.790743000000
 1964:11  21.840000000000 47.250000000000 24.843885000000
 1964:12  21.550000000000 47.000000000000 24.870456000000
 1965:01  21.270000000000 47.250000000000 24.870456000000
 1965:02  21.210000000000 47.500000000000 24.870456000000
 1965:03  21.120000000000 47.250000000000 24.897027000000
 1965:04  21.210000000000 47.500000000000 24.976740000000
 1965:05  21.330000000000 47.250000000000 25.029882000000
 1965:06  21.420000000000 47.500000000000 25.162737000000
 1965:07  21.450000000000 43.500000000000 25.189308000000
 1965:08  21.580000000000 42.250000000000 25.136166000000
 1965:09  21.690000000000 42.800000000000 25.189308000000
 1965:10  21.510000000000 42.450000000000 25.215879000000
 1965:11  21.560000000000 41.200000000000 25.269021000000
 1965:12  21.690000000000 42.650000000000 25.348734000000
 1966:01  21.640000000000 42.400000000000 25.348734000000
 1966:02  21.330000000000 41.700000000000 25.508160000000
 1966:03  21.300000000000 41.250000000000 25.587873000000
 1966:04  21.430000000000 40.800000000000 25.694157000000
 1966:05  21.480000000000 41.250000000000 25.720728000000
 1966:06  22.000000000000 41.000000000000 25.800441000000
 1966:07  22.020000000000 40.500000000000 25.880154000000
 1966:08  21.910000000000 41.100000000000 26.013009000000
 1966:09  22.370000000000 41.300000000000 26.066151000000
 1966:10  22.520000000000 40.750000000000 26.172435000000
 1966:11  22.210000000000 41.250000000000 26.172435000000
 1966:12  22.040000000000 41.900000000000 26.199006000000
 1967:01  22.220000000000 41.400000000000 26.199006000000
 1967:02  22.620000000000 41.400000000000 26.225577000000
 1967:03  22.250000000000 41.300000000000 26.278719000000
 1967:04  22.200000000000 40.850000000000 26.331861000000
 1967:05  22.280000000000 41.500000000000 26.411574000000
 1967:06  22.460000000000 40.300000000000 26.491287000000
 1967:07  22.760000000000 40.250000000000 26.624142000000
 1967:08  22.700000000000 40.350000000000 26.703855000000
 1967:09  22.940000000000 40.650000000000 26.756997000000
 1967:10  22.820000000000 40.100000000000 26.836710000000
 1967:11  22.800000000000 39.750000000000 26.916423000000
 1967:12  23.020000000000 41.000000000000 26.996136000000
 1968:01  23.120000000000 41.000000000000 27.102420000000
 1968:02  22.960000000000 41.000000000000 27.182133000000
 1968:03  23.040000000000 41.000000000000 27.314988000000
 1968:04  24.010000000000 41.400000000000 27.394701000000
 1968:05  24.150000000000 43.000000000000 27.474414000000
 1968:06  24.570000000000 42.500000000000 27.633840000000
 1968:07  24.990000000000 41.750000000000 27.766695000000
 1968:08  25.640000000000 41.150000000000 27.846408000000
 1968:09  25.230000000000 41.150000000000 27.926121000000
 1968:10  25.410000000000 41.500000000000 28.085547000000
 1968:11  24.900000000000 41.350000000000 28.191831000000
 1968:12  24.420000000000 41.700000000000 28.271544000000
 1969:01  24.600000000000 41.750000000000 28.351257000000
 1969:02  24.930000000000 41.700000000000 28.457541000000
 1969:03  24.850000000000 41.150000000000 28.696680000000
 1969:04  24.960000000000 40.300000000000 28.882677000000
 1969:05  24.690000000000 40.650000000000 28.962390000000
 1969:06  24.890000000000 41.050000000000 29.148387000000
 1969:07  25.420000000000 41.000000000000 29.281242000000
 1969:08  25.940000000000 39.700000000000 29.414097000000
 1969:09  25.920000000000 40.150000000000 29.546952000000
 1969:10  28.260000000000 40.450000000000 29.653236000000
 1969:11  27.040000000000 40.750000000000 29.812662000000
 1969:12  25.810000000000 41.200000000000 29.998659000000
 1970:01  25.530000000000 40.650000000000 30.104943000000
 1970:02  25.970000000000 40.950000000000 30.264369000000
 1970:03  26.100000000000 41.000000000000 30.423795000000
 1970:04  26.260000000000 40.400000000000 30.609792000000
