 ENTRY         PAKCPI           PAKEX           USCPI
 1958:01  11.153870000000  7.640000000000 21.853500000000
 1958:02  11.420640000000  7.500000000000 21.879000000000
 1958:03  11.153870000000  7.600000000000 22.032000000000
 1958:04  11.240390000000  7.570000000000 22.083000000000
 1958:05  11.240390000000  7.600000000000 22.083000000000
 1958:06  11.334120000000  7.500000000000 22.108500000000
 1958:07  11.600890000000  7.650000000000 22.134000000000
 1958:08  11.514370000000  7.850000000000 22.108500000000
 1958:09  11.600890000000  8.000000000000 22.108500000000
 1958:10  10.879890000000  7.750000000000 22.108500000000
 1958:11  10.425660000000  7.500000000000 22.134000000000
 1958:12  10.151680000000  7.150000000000 22.108500000000
 1959:01  10.151680000000  6.900000000000 22.134000000000
 1959:02  10.245410000000  6.600000000000 22.108500000000
 1959:03  10.425660000000  6.350000000000 22.108500000000
 1959:04  10.425660000000  6.250000000000 22.134000000000
 1959:05  10.519390000000  6.300000000000 22.159500000000
 1959:06  10.605910000000  6.900000000000 22.261500000000
 1959:07  10.786160000000  7.050000000000 22.312500000000
 1959:08  10.966410000000  6.860000000000 22.287000000000
 1959:09  11.153870000000  7.200000000000 22.363500000000
 1959:10  11.153870000000  7.300000000000 22.440000000000
 1959:11  11.420640000000  7.000000000000 22.440000000000
 1959:12  11.334120000000  7.000000000000 22.440000000000
 1960:01  11.514370000000  6.800000000000 22.414500000000
 1960:02  11.600890000000  6.850000000000 22.440000000000
 1960:03  11.514370000000  6.700000000000 22.440000000000
 1960:04  11.420640000000  6.750000000000 22.567500000000
 1960:05  11.514370000000  6.880000000000 22.567500000000
 1960:06  11.600890000000  6.940000000000 22.618500000000
 1960:07  11.694620000000  7.000000000000 22.618500000000
 1960:08  11.420640000000  7.150000000000 22.618500000000
 1960:09  11.420640000000  7.050000000000 22.644000000000
 1960:10  11.514370000000  7.000000000000 22.746000000000
 1960:11  11.420640000000  7.100000000000 22.771500000000
 1960:12  11.514370000000  7.050000000000 22.771500000000
 1961:01  11.514370000000  6.900000000000 22.771500000000
 1961:02  11.514370000000  7.250000000000 22.771500000000
 1961:03  11.600890000000  7.280000000000 22.771500000000
 1961:04  11.600890000000  7.300000000000 22.771500000000
 1961:05  11.514370000000  7.240000000000 22.771500000000
 1961:06  11.694620000000  7.550000000000 22.797000000000
 1961:07  11.600890000000  8.000000000000 22.899000000000
 1961:08  11.874870000000  8.250000000000 22.873500000000
 1961:09  12.055120000000  8.280000000000 22.924500000000
 1961:10  11.874870000000  8.150000000000 22.924500000000
 1961:11  11.874870000000  8.250000000000 22.924500000000
 1961:12  11.694620000000  7.250000000000 22.924500000000
 1962:01  11.723460000000  7.200000000000 22.924500000000
 1962:02  11.831610000000  7.550000000000 22.975500000000
 1962:03  11.802770000000  8.000000000000 23.026500000000
 1962:04  11.716250000000  8.150000000000 23.077500000000
 1962:05  11.781140000000  8.100000000000 23.077500000000
 1962:06  11.867660000000  8.120000000000 23.077500000000
 1962:07  11.622520000000  8.250000000000 23.128500000000
 1962:08  11.485530000000  8.400000000000 23.128500000000
 1962:09  11.456690000000  8.450000000000 23.256000000000
 1962:10  11.499950000000  8.350000000000 23.230500000000
 1962:11  11.514370000000  8.150000000000 23.230500000000
 1962:12  11.391800000000  8.100000000000 23.205000000000
 1963:01  11.399010000000  7.850000000000 23.230500000000
 1963:02  11.536000000000  7.150000000000 23.256000000000
 1963:03  11.687410000000  7.250000000000 23.281500000000
 1963:04  11.809980000000  7.300000000000 23.281500000000
 1963:05  11.896500000000  7.300000000000 23.281500000000
 1963:06  12.120010000000  7.450000000000 23.383500000000
 1963:07  11.975810000000  7.600000000000 23.485500000000
 1963:08  11.874870000000  7.800000000000 23.485500000000
 1963:09  11.889290000000  8.100000000000 23.485500000000
 1963:10  11.860450000000  8.300000000000 23.511000000000
 1963:11  11.802770000000  7.400000000000 23.536500000000
 1963:12  11.896500000000  7.500000000000 23.587500000000
 1964:01  11.867660000000  7.650000000000 23.613000000000
 1964:02  12.170480000000  7.900000000000 23.587500000000
 1964:03  12.141640000000  8.000000000000 23.613000000000
 1964:04  12.170480000000  8.100000000000 23.638500000000
 1964:05  12.055120000000  8.250000000000 23.638500000000
 1964:06  12.127220000000  7.300000000000 23.689500000000
 1964:07  12.300260000000  7.800000000000 23.740500000000
 1964:08  12.437250000000  8.000000000000 23.715000000000
 1964:09  12.603080000000  8.100000000000 23.766000000000
 1964:10  12.610290000000  8.600000000000 23.791500000000
 1964:11  12.494930000000  8.800000000000 23.842500000000
 1964:12  12.682390000000  8.500000000000 23.868000000000
 1965:01  12.804960000000  8.750000000000 23.868000000000
 1965:02  12.927530000000  8.850000000000 23.868000000000
 1965:03  12.877060000000  8.750000000000 23.893500000000
 1965:04  12.891480000000  8.100000000000 23.970000000000
 1965:05  13.064520000000  8.750000000000 24.021000000000
 1965:06  12.862640000000  8.500000000000 24.148500000000
 1965:07  13.057310000000  8.600000000000 24.174000000000
 1965:08  13.093360000000  8.400000000000 24.123000000000
 1965:09  13.165460000000  8.450000000000 24.174000000000
 1965:10  13.006840000000  8.050000000000 24.199500000000
 1965:11  12.978000000000  8.050000000000 24.250500000000
 1965:12  13.158250000000  7.900000000000 24.327000000000
 1966:01  13.316870000000  8.150000000000 24.327000000000
 1966:02  13.569220000000  8.400000000000 24.480000000000
 1966:03  13.497120000000  8.550000000000 24.556500000000
 1966:04  13.828780000000  8.450000000000 24.658500000000
 1966:05  13.706210000000  8.500000000000 24.684000000000
 1966:06  13.900880000000  9.000000000000 24.760500000000
 1966:07  13.972980000000  8.500000000000 24.837000000000
 1966:08  14.117180000000  8.400000000000 24.964500000000
 1966:09  14.182070000000  8.250000000000 25.015500000000
 1966:10  14.261380000000  8.150000000000 25.117500000000
 1966:11  14.297430000000  7.950000000000 25.117500000000
 1966:12  14.499310000000  7.750000000000 25.143000000000
 1967:01  14.614670000000  8.350000000000 25.143000000000
 1967:02  14.895860000000  8.600000000000 25.168500000000
 1967:03  14.744450000000  8.700000000000 25.219500000000
