 ENTRY        THICPI           THIEX          USCPI
 1961:11  22.002698250000 21.290000000000 22.924500000000
 1961:12  22.510452825000 21.300000000000 22.924500000000
 1962:01  21.833446725000 21.250000000000 22.924500000000
 1962:02  21.664195200000 21.320000000000 22.975500000000
 1962:03  21.494943675000 21.370000000000 23.026500000000
 1962:04  21.940012500000 21.800000000000 23.077500000000
 1962:05  22.357917500000 21.780000000000 23.077500000000
 1962:06  22.148965000000 21.650000000000 23.077500000000
 1962:07  21.940012500000 21.450000000000 23.128500000000
 1962:08  22.566870000000 21.450000000000 23.128500000000
 1962:09  22.566870000000 21.500000000000 23.256000000000
 1962:10  22.357917500000 21.450000000000 23.230500000000
 1962:11  21.940012500000 21.500000000000 23.230500000000
 1962:12  21.940012500000 21.200000000000 23.205000000000
 1963:01  21.940012500000 21.250000000000 23.230500000000
 1963:02  21.731060000000 21.350000000000 23.256000000000
 1963:03  22.566870000000 21.200000000000 23.281500000000
 1963:04  22.148965000000 21.050000000000 23.281500000000
 1963:05  22.357917500000 21.150000000000 23.281500000000
 1963:06  22.357917500000 21.200000000000 23.383500000000
 1963:07  21.522107500000 21.400000000000 23.485500000000
 1963:08  21.731060000000 21.300000000000 23.485500000000
 1963:09  22.148965000000 21.450000000000 23.485500000000
 1963:10  22.148965000000 21.400000000000 23.511000000000
 1963:11  22.148965000000 21.000000000000 23.536500000000
 1963:12  21.731060000000 21.800000000000 23.587500000000
 1964:01  21.522107500000 21.750000000000 23.613000000000
 1964:02  21.940012500000 21.700000000000 23.587500000000
 1964:03  21.940012500000 22.000000000000 23.613000000000
 1964:04  21.731060000000 22.000000000000 23.638500000000
 1964:05  21.940012500000 22.100000000000 23.638500000000
 1964:06  22.148965000000 21.700000000000 23.689500000000
 1964:07  22.148965000000 21.740000000000 23.740500000000
 1964:08  21.940012500000 20.350000000000 23.715000000000
 1964:09  21.522107500000 20.400000000000 23.766000000000
 1964:10  21.731060000000 20.650000000000 23.791500000000
 1964:11  21.731060000000 20.600000000000 23.842500000000
 1964:12  21.522107500000 20.650000000000 23.868000000000
 1965:01  21.313155000000 20.600000000000 23.868000000000
 1965:02  21.522107500000 20.650000000000 23.868000000000
 1965:03  21.731060000000 20.500000000000 23.893500000000
 1965:04  22.148965000000 20.400000000000 23.970000000000
 1965:05  22.148965000000 20.500000000000 24.021000000000
 1965:06  21.731060000000 20.600000000000 24.148500000000
 1965:07  21.522107500000 20.550000000000 24.174000000000
 1965:08  21.522107500000 20.600000000000 24.123000000000
 1965:09  22.148965000000 20.950000000000 24.174000000000
 1965:10  21.940012500000 21.250000000000 24.199500000000
 1965:11  21.731060000000 21.300000000000 24.250500000000
 1965:12  21.522107500000 20.800000000000 24.327000000000
 1966:01  21.731060000000 20.750000000000 24.327000000000
 1966:02  21.731060000000 20.900000000000 24.480000000000
 1966:03  21.940012500000 20.700000000000 24.556500000000
 1966:04  21.940012500000 20.650000000000 24.658500000000
 1966:05  22.148965000000 20.650000000000 24.684000000000
 1966:06  22.148965000000 20.650000000000 24.760500000000
 1966:07  21.940012500000 20.700000000000 24.837000000000
 1966:08  22.357917500000 20.800000000000 24.964500000000
 1966:09  22.357917500000 20.600000000000 25.015500000000
 1966:10  22.357917500000 20.550000000000 25.117500000000
 1966:11  22.566870000000 20.400000000000 25.117500000000
 1966:12  22.566870000000 20.400000000000 25.143000000000
 1967:01  22.984775000000 20.800000000000 25.143000000000
 1967:02  22.775822500000 20.750000000000 25.168500000000
 1967:03  22.775822500000 20.700000000000 25.219500000000
 1967:04  22.775822500000 20.850000000000 25.270500000000
 1967:05  22.984775000000 21.300000000000 25.347000000000
 1967:06  22.984775000000 21.100000000000 25.423500000000
 1967:07  22.984775000000 21.150000000000 25.551000000000
 1967:08  22.984775000000 20.850000000000 25.627500000000
 1967:09  23.193727500000 20.750000000000 25.678500000000
