 ENTRY         MNRCPI            MNREX         USCPI
 1958:01  21.570606000000 10.250000000000 21.853500000000
 1958:02  20.640838500000 11.100000000000 21.879000000000
 1958:03  20.268931500000 10.900000000000 22.032000000000
 1958:04  21.012745500000 10.650000000000 22.083000000000
 1958:05  22.314420000000 11.000000000000 22.083000000000
 1958:06  22.872280500000 11.750000000000 22.108500000000
 1958:07  23.988001500000 11.600000000000 22.134000000000
 1958:08  23.988001500000 11.350000000000 22.108500000000
 1958:09  23.430141000000 11.550000000000 22.108500000000
 1958:10  22.314420000000 11.200000000000 22.108500000000
 1958:11  21.012745500000 11.250000000000 22.134000000000
 1958:12  18.967257000000 11.350000000000 22.108500000000
 1959:01  17.665582500000 10.500000000000 22.134000000000
 1959:02  17.479629000000 10.000000000000 22.108500000000
 1959:03  17.851536000000 10.000000000000 22.108500000000
 1959:04  17.851536000000 10.300000000000 22.134000000000
 1959:05  18.037489500000 10.650000000000 22.159500000000
 1959:06  18.037489500000 11.360000000000 22.261500000000
 1959:07  18.223443000000 11.830000000000 22.312500000000
 1959:08  18.409396500000 11.900000000000 22.287000000000
 1959:09  18.409396500000 13.700000000000 22.363500000000
 1959:10  18.967257000000 12.900000000000 22.440000000000
 1959:11  19.339164000000 12.980000000000 22.440000000000
 1959:12  20.082978000000 11.550000000000 22.440000000000
 1960:01  18.409396500000 11.300000000000 22.414500000000
 1960:02  18.688326750000 11.250000000000 22.440000000000
 1960:03  19.339164000000 11.550000000000 22.440000000000
 1960:04  20.082978000000 11.900000000000 22.567500000000
 1960:05  20.454885000000 11.950000000000 22.567500000000
 1960:06  21.198699000000 12.150000000000 22.618500000000
 1960:07  21.384652500000 11.760000000000 22.618500000000
 1960:08  20.826792000000 11.500000000000 22.618500000000
 1960:09  20.454885000000 10.900000000000 22.644000000000
 1960:10  20.268931500000 10.530000000000 22.746000000000
 1960:11  20.268931500000 10.810000000000 22.771500000000
 1960:12  20.268931500000 10.580000000000 22.771500000000
 1961:01  20.268931500000 11.050000000000 22.771500000000
 1961:02  20.082978000000 10.750000000000 22.771500000000
 1961:03  19.897024500000 10.870000000000 22.771500000000
 1961:04  20.082978000000 10.580000000000 22.771500000000
 1961:05  20.454885000000 10.470000000000 22.771500000000
 1961:06  21.198699000000 10.530000000000 22.797000000000
 1961:07  21.570606000000 10.580000000000 22.899000000000
 1961:08  21.198699000000 10.260000000000 22.873500000000
 1961:09  21.198699000000  9.900000000000 22.924500000000
 1961:10  21.012745500000 10.000000000000 22.924500000000
 1961:11  20.826792000000 10.210000000000 22.924500000000
 1961:12  20.640838500000  9.850000000000 22.924500000000
 1962:01  20.454885000000 10.100000000000 22.924500000000
 1962:02  20.268931500000 10.150000000000 22.975500000000
 1962:03  19.897024500000 11.000000000000 23.026500000000
 1962:04  19.795050000000 10.600000000000 23.077500000000
 1962:05  20.194950000000 10.700000000000 23.077500000000
 1962:06  20.994750000000 10.450000000000 23.077500000000
 1962:07  20.994750000000 10.650000000000 23.128500000000
 1962:08  20.394900000000 10.650000000000 23.128500000000
 1962:09  20.394900000000 10.750000000000 23.256000000000
 1962:10  20.194950000000 10.550000000000 23.230500000000
 1962:11  20.194950000000 11.000000000000 23.230500000000
 1962:12  19.795050000000 10.100000000000 23.205000000000
 1963:01  19.395150000000  8.750000000000 23.230500000000
 1963:02  18.995250000000  9.750000000000 23.256000000000
 1963:03  19.195200000000  9.600000000000 23.281500000000
 1963:04  18.995250000000  9.550000000000 23.281500000000
 1963:05  19.595100000000  9.650000000000 23.281500000000
 1963:06  20.194950000000 11.150000000000 23.383500000000
 1963:07  20.794800000000 11.750000000000 23.485500000000
 1963:08  20.394900000000 13.000000000000 23.485500000000
 1963:09  19.595100000000 12.500000000000 23.485500000000
 1963:10  19.795050000000 12.000000000000 23.511000000000
 1963:11  19.595100000000 14.900000000000 23.536500000000
 1963:12  19.995000000000 13.750000000000 23.587500000000
 1964:01  19.752529369456 14.000000000000 23.613000000000
 1964:02  20.168372093023 13.750000000000 23.587500000000
 1964:03  19.958284883721 13.750000000000 23.613000000000
 1964:04  20.168372093023 13.500000000000 23.638500000000
 1964:05  19.550972947318 15.250000000000 23.638500000000
 1964:06  18.970250978586 15.750000000000 23.689500000000
 1964:07  18.423032200358 16.250000000000 23.740500000000
 1964:08  18.784268125855 17.000000000000 23.715000000000
 1964:09  19.550972947318 20.000000000000 23.766000000000
 1964:10  19.353488372093 16.000000000000 23.791500000000
 1964:11  19.550972947318 15.000000000000 23.842500000000
 1964:12  19.159953488372 17.250000000000 23.868000000000
 1965:01  10.568827773954 17.000000000000 23.868000000000
 1965:02  10.791329411300 17.250000000000 23.868000000000
 1965:03  10.678919729932 17.300000000000 23.893500000000
 1965:04  10.791329411300 17.500000000000 23.970000000000
 1965:05  10.460982592587 17.250000000000 24.021000000000
 1965:06  10.150260337362 20.000000000000 24.148500000000
 1965:07   9.857464366092 20.000000000000 24.174000000000
 1965:08  10.050747981113 20.750000000000 24.123000000000
 1965:09  10.460982592587 19.250000000000 24.174000000000
 1965:10  10.355316101753 17.250000000000 24.199500000000
 1965:11  10.460982592587 19.500000000000 24.250500000000
 1965:12  10.251762940735 22.750000000000 24.327000000000
 1966:01  13.211034717442 23.000000000000 24.327000000000
 1966:02  13.489161764125 25.000000000000 24.480000000000
 1966:03  13.348649662416 27.000000000000 24.556500000000
 1966:04  13.489161764125 28.000000000000 24.658500000000
 1966:05  13.076228240734 24.750000000000 24.684000000000
 1966:06  12.687825421702 23.000000000000 24.760500000000
 1966:07  12.321830457614 22.500000000000 24.837000000000
 1966:08  12.563434976391 27.000000000000 24.964500000000
 1966:09  13.076228240734 26.000000000000 25.015500000000
 1966:10  12.944145127191 28.750000000000 25.117500000000
 1966:11  13.076228240734 27.250000000000 25.117500000000
 1966:12  12.814703675919 22.000000000000 25.143000000000
 1967:01  13.312658061423 27.500000000000 25.143000000000
 1967:02  13.592924546926 27.300000000000 25.168500000000
 1967:03  13.451331582896 23.500000000000 25.219500000000
 1967:04  13.592924546926 19.500000000000 25.270500000000
 1967:05  13.176814611816 19.400000000000 25.347000000000
 1967:06  12.785424078792 19.250000000000 25.423500000000
 1967:07  12.416613768827 21.500000000000 25.551000000000
 1967:08  12.660076783902 23.000000000000 25.627500000000
 1967:09  13.176814611816 28.500000000000 25.678500000000
 1967:10  13.043715474323 22.000000000000 25.755000000000
 1967:11  13.176814611816 21.000000000000 25.831500000000
 1967:12  12.913278319580 18.500000000000 25.908000000000
 1968:01  13.617528093364 15.250000000000 26.010000000000
 1968:02  13.904212895329 13.400000000000 26.086500000000
 1968:03  13.759377344336 12.950000000000 26.214000000000
 1968:04  13.904212895329 13.500000000000 26.290500000000
 1968:05  13.478573725064 14.000000000000 26.367000000000
 1968:06  13.078220050062 16.000000000000 26.520000000000
 1968:07  12.700963702464 16.000000000000 26.647500000000
 1968:08  12.950002206434 17.500000000000 26.724000000000
 1968:09  13.478573725064 18.000000000000 26.800500000000
 1968:10  13.342426515720 17.600000000000 26.953500000000
 1968:11  13.478573725064 17.700000000000 27.055500000000
 1968:12  13.209002250563 17.500000000000 27.132000000000
 1969:01  12.925901639344 17.550000000000 27.208500000000
 1969:02  12.895700934579 17.400000000000 27.310500000000
 1969:03  12.895700934579 17.430000000000 27.540000000000
 1969:04  12.865641025641 17.360000000000 27.718500000000
 1969:05  12.895700934579 17.400000000000 27.795000000000
 1969:06  12.895700934579 17.450000000000 27.973500000000
 1969:07  12.805939675174 17.370000000000 28.101000000000
 1969:08  12.776296296296 17.400000000000 28.228500000000
 1969:09  12.746789838337 17.380000000000 28.356000000000
 1969:10  12.717419354839 17.400000000000 28.458000000000
 1969:11  12.659082568807 17.300000000000 28.611000000000
 1969:12  12.515555555556 17.300000000000 28.789500000000
 1970:01  12.420983606557 17.250000000000 28.891500000000
 1970:02  12.391962616822 17.250000000000 29.044500000000
 1970:03  12.391962616822 17.200000000000 29.197500000000
 1970:04  12.363076923077 17.220000000000 29.376000000000
 1970:05  12.391962616822 17.250000000000 29.503500000000
 1970:06  12.391962616822 17.300000000000 29.656500000000
 1970:07  12.305707656613 17.400000000000 29.758500000000
 1970:08  12.277222222222 18.000000000000 29.809500000000
 1970:09  12.248868360277 18.200000000000 29.962500000000
 1970:10  12.220645161290 18.500000000000 30.115500000000
 1970:11  12.164587155963 18.800000000000 30.217500000000
 1970:12  12.026666666667 19.000000000000 30.370500000000
 1971:01  12.723934426230 19.000000000000 30.396000000000
 1971:02  12.694205607477 18.900000000000 30.447000000000
 1971:03  12.694205607477 18.900000000000 30.549000000000
 1971:04  12.664615384615 17.500000000000 30.651000000000
 1971:05  12.694205607477 18.000000000000 30.804000000000
 1971:06  12.694205607477 18.200000000000 30.982500000000
 1971:07  12.605846867749 18.200000000000 31.059000000000
 1971:08  12.576666666667 19.000000000000 31.135500000000
 1971:09  12.547621247113 18.000000000000 31.161000000000
 1971:10  12.518709677419 18.000000000000 31.212000000000
 1971:11  12.461284403670 17.500000000000 31.263000000000
 1971:12  12.320000000000 18.800000000000 31.390500000000
 1972:01  12.100000000000 17.000000000000 31.416000000000
 1972:02  12.300000000000 16.500000000000 31.569000000000
 1972:03  12.400000000000 16.500000000000 31.620000000000
 1972:04  12.400000000000 16.850000000000 31.696500000000
 1972:05  12.900000000000 16.850000000000 31.798500000000
 1972:06  13.300000000000 16.200000000000 31.875000000000
 1972:07  13.900000000000 15.850000000000 32.002500000000
 1972:08  13.900000000000 15.500000000000 32.053500000000
 1972:09  14.000000000000 15.000000000000 32.181000000000
 1972:10  14.000000000000 16.000000000000 32.283000000000
 1972:11  14.500000000000 16.100000000000 32.359500000000
 1972:12  15.100000000000 16.300000000000 32.461500000000
 1973:01  15.200000000000 16.200000000000 32.563500000000
 1973:02  14.600000000000 17.200000000000 32.793000000000
 1973:03  14.400000000000 17.150000000000 33.099000000000
 1973:04  14.800000000000 17.150000000000 33.328500000000
 1973:05  15.200000000000 17.100000000000 33.532500000000
 1973:06  15.500000000000 16.750000000000 33.762000000000
 1973:07  18.400000000000 18.500000000000 33.838500000000
 1973:08  20.700000000000 19.000000000000 34.450500000000
 1973:09  18.300000000000 15.000000000000 34.552500000000
 1973:10  18.000000000000 14.850000000000 34.833000000000
 1973:11  18.800000000000 14.950000000000 35.088000000000
 1973:12  19.700000000000 14.900000000000 35.317500000000
 1974:01  19.300000000000 15.500000000000 35.623500000000
 1974:02  19.300000000000 15.300000000000 36.082500000000
 1974:03  18.800000000000 16.650000000000 36.490500000000
 1974:04  20.900000000000 16.700000000000 36.694500000000
 1974:05  21.400000000000 15.250000000000 37.102500000000
 1974:06  21.500000000000 15.200000000000 37.459500000000
 1974:07  20.800000000000 15.300000000000 37.740000000000
 1974:08  22.100000000000 15.300000000000 38.224500000000
 1974:09  22.100000000000 16.500000000000 38.683500000000
 1974:10  22.400000000000 16.450000000000 39.015000000000
 1974:11  22.400000000000  1.650000000000 39.346500000000
 1974:12  23.900000000000 15.600000000000 39.627000000000
 1975:01  23.500000000000 15.050000000000 39.805500000000
 1975:02  23.300000000000 15.800000000000 40.086000000000
 1975:03  23.800000000000 16.650000000000 40.239000000000
 1975:04  25.300000000000 21.800000000000 40.443000000000
 1975:05  28.100000000000 21.700000000000 40.621500000000
 1975:06  28.800000000000 21.950000000000 40.953000000000
 1975:07  29.000000000000 22.250000000000 41.386500000000
 1975:08  29.700000000000 22.350000000000 41.514000000000
 1975:09  30.200000000000 22.450000000000 41.718000000000
 1975:10  30.700000000000 22.300000000000 41.973000000000
 1975:11  31.300000000000 22.250000000000 42.228000000000
 1975:12  31.600000000000 22.350000000000 42.406500000000
 1976:01  31.200000000000 22.150000000000 42.508500000000
 1976:02  31.400000000000 22.150000000000 42.610500000000
 1976:03  34.200000000000 21.800000000000 42.712500000000
 1976:04  32.500000000000 21.800000000000 42.891000000000
 1976:05  33.800000000000 21.700000000000 43.146000000000
 1976:06  34.500000000000 21.950000000000 43.375500000000
 1976:07  35.000000000000 21.850000000000 43.630500000000
 1976:08  34.900000000000 22.000000000000 43.834500000000
 1976:09  35.500000000000 22.000000000000 44.013000000000
 1976:10  35.900000000000 22.500000000000 44.191500000000
 1976:11  35.300000000000 23.300000000000 44.319000000000
 1976:12  36.500000000000 23.500000000000 44.446500000000
 1977:01  34.900000000000 23.250000000000 44.701500000000
 1977:02  33.700000000000 23.200000000000 45.160500000000
 1977:03  33.000000000000 26.450000000000 45.441000000000
 1977:04  33.500000000000 26.500000000000 45.798000000000
 1977:05  34.100000000000 31.000000000000 46.053000000000
 1977:06  34.600000000000 31.200000000000 46.359000000000
 1977:07  33.900000000000 37.000000000000 46.563000000000
 1977:08  33.700000000000 37.100000000000 46.741500000000
 1977:09  33.800000000000 37.450000000000 46.920000000000
 1977:10  33.900000000000 37.500000000000 47.047500000000
 1977:11  33.500000000000 37.200000000000 47.277000000000
 1977:12  33.400000000000 36.950000000000 47.455500000000
 1978:01  32.600000000000 31.700000000000 47.736000000000
 1978:02  31.600000000000 31.600000000000 48.042000000000
 1978:03  31.100000000000 31.650000000000 48.399000000000
 1978:04  31.300000000000 31.800000000000 48.832500000000
 1978:05  32.100000000000 32.050000000000 49.291500000000
 1978:06  32.900000000000 32.000000000000 49.801500000000
 1978:07  32.800000000000 32.000000000000 50.158500000000
 1978:08  31.900000000000 32.350000000000 50.439000000000
 1978:09  31.500000000000 35.100000000000 50.821500000000
 1978:10  30.800000000000 34.940000000000 51.229500000000
 1978:11  31.000000000000 35.400000000000 51.510000000000
 1978:12  31.700000000000 35.400000000000 51.739500000000
 1979:01  32.700000000000 34.950000000000 52.198500000000
 1979:02  31.900000000000 35.350000000000 52.810500000000
 1979:03  33.000000000000 36.600000000000 53.320500000000
 1979:04  33.000000000000 38.000000000000 53.932500000000
 1979:05  32.800000000000 37.250000000000 54.595500000000
 1979:06  34.200000000000 37.550000000000 55.233000000000
 1979:07  34.900000000000 38.150000000000 55.819500000000
 1979:08  33.700000000000 37.550000000000 56.380500000000
 1979:09  34.300000000000 36.900000000000 56.967000000000
 1979:10  34.100000000000 37.000000000000 57.477000000000
 1979:11  34.200000000000 36.900000000000 58.012500000000
 1979:12  34.200000000000 36.300000000000 58.624500000000
 1980:01  33.800000000000 35.500000000000 59.466000000000
 1980:02  33.000000000000 36.800000000000 60.282000000000
 1980:03  33.000000000000 37.350000000000 61.149000000000
 1980:04  34.100000000000 36.650000000000 61.837500000000
 1980:05  34.900000000000 36.300000000000 62.449500000000
 1980:06  35.100000000000 36.350000000000 63.138000000000
 1980:07  34.900000000000 36.400000000000 63.189000000000
 1980:08  34.000000000000 36.500000000000 63.597000000000
 1980:09  33.600000000000 36.950000000000 64.183500000000
 1980:10  33.100000000000 37.200000000000 64.744500000000
 1980:11  33.000000000000 37.650000000000 65.331000000000
 1980:12  33.100000000000 37.750000000000 65.892000000000
 1981:01  33.300000000000 38.600000000000 66.427500000000
