 ENTRY         LNKCPI            LNKEX           USCPI
 1958:01  10.536200000000  6.150000000000 21.853500000000
 1958:02  10.469480000000  6.100000000000 21.879000000000
 1958:03  10.363840000000  6.150000000000 22.032000000000
 1958:04  10.363840000000  6.200000000000 22.083000000000
 1958:05  10.430560000000  6.150000000000 22.083000000000
 1958:06  10.363840000000  6.250000000000 22.108500000000
 1958:07  10.219280000000  6.600000000000 22.134000000000
 1958:08  10.324920000000  6.450000000000 22.108500000000
 1958:09  10.363840000000  6.180000000000 22.108500000000
 1958:10  10.502840000000  6.290000000000 22.108500000000
 1958:11  10.469480000000  6.540000000000 22.134000000000
 1958:12  10.469480000000  6.250000000000 22.108500000000
 1959:01  10.402760000000  6.280000000000 22.134000000000
 1959:02  10.252640000000  6.440000000000 22.108500000000
 1959:03  10.341600000000  6.530000000000 22.108500000000
 1959:04  10.480600000000  6.670000000000 22.134000000000
 1959:05  10.441680000000  6.750000000000 22.159500000000
 1959:06  10.519520000000  6.250000000000 22.261500000000
 1959:07  10.463920000000  5.900000000000 22.312500000000
 1959:08  10.374960000000  6.190000000000 22.287000000000
 1959:09  10.341600000000  6.350000000000 22.363500000000
 1959:10  10.441680000000  6.190000000000 22.440000000000
 1959:11  10.530640000000  6.250000000000 22.440000000000
 1959:12  10.469480000000  6.660000000000 22.440000000000
 1960:01  10.441680000000  6.710000000000 22.414500000000
 1960:02  10.430560000000  6.350000000000 22.440000000000
 1960:03  10.463920000000  6.500000000000 22.440000000000
 1960:04  10.302680000000  6.870000000000 22.567500000000
 1960:05  10.241520000000  6.920000000000 22.567500000000
 1960:06  10.152560000000  6.900000000000 22.618500000000
 1960:07  10.024680000000  6.710000000000 22.618500000000
 1960:08   9.974640000000  6.620000000000 22.618500000000
 1960:09  10.163680000000  6.620000000000 22.644000000000
 1960:10  10.224840000000  6.620000000000 22.746000000000
 1960:11  10.391640000000  6.760000000000 22.771500000000
 1960:12  10.313800000000  6.800000000000 22.771500000000
