 ENTRY         MALCPI            MALEX           USCPI
 1958:01  38.879373980160 3.2200000000000 21.853500000000
 1958:02  38.879373980160 3.1900000000000 21.879000000000
 1958:03  38.879373980160 3.1700000000000 22.032000000000
 1958:04  38.879373980160 3.1800000000000 22.083000000000
 1958:05  38.474380501200 3.1700000000000 22.083000000000
 1958:06  38.069387022240 3.1600000000000 22.108500000000
 1958:07  38.069387022240 3.1500000000000 22.134000000000
 1958:08  37.664393543280 3.1700000000000 22.108500000000
 1958:09  37.664393543280 3.1600000000000 22.108500000000
 1958:10  37.664393543280 3.1750000000000 22.108500000000
 1958:11  38.069387022240 3.1400000000000 22.134000000000
 1958:12  37.664393543280 3.1400000000000 22.108500000000
 1959:01  38.069387022240 3.1200000000000 22.134000000000
 1959:02  37.664393543280 3.1100000000000 22.108500000000
 1959:03  37.664393543280 3.1300000000000 22.108500000000
 1959:04  37.259400064320 3.1200000000000 22.134000000000
 1959:05  38.474380501200 3.1300000000000 22.159500000000
 1959:06  38.069387022240 3.1400000000000 22.261500000000
 1959:07  38.069387022240 3.1300000000000 22.312500000000
 1959:08  36.854406585360 3.1100000000000 22.287000000000
 1959:09  36.854406585360 3.1500000000000 22.363500000000
 1959:10  36.449413106400 3.1800000000000 22.440000000000
 1959:11  36.854406585360 3.1350000000000 22.440000000000
 1959:12  36.854406585360 3.1200000000000 22.440000000000
 1960:01  37.664393543280 3.1200000000000 22.414500000000
 1960:02  37.259400064320 3.1350000000000 22.440000000000
 1960:03  36.854406585360 3.1600000000000 22.440000000000
 1960:04  36.854406585360 3.1550000000000 22.567500000000
 1960:05  36.854406585360 3.1750000000000 22.567500000000
 1960:06  36.854406585360 3.1650000000000 22.618500000000
 1960:07  36.854406585360 3.1500000000000 22.618500000000
 1960:08  36.854406585360 3.1300000000000 22.618500000000
 1960:09  36.854406585360 3.1300000000000 22.644000000000
 1960:10  36.854406585360 3.1300000000000 22.746000000000
 1960:11  36.854406585360 3.1250000000000 22.771500000000
 1960:12  36.854406585360 3.1200000000000 22.771500000000
 1961:01  37.259400064320 3.1400000000000 22.771500000000
 1961:02  37.259400064320 3.1400000000000 22.771500000000
 1961:03  36.854406585360 3.1800000000000 22.771500000000
 1961:04  36.449413106400 3.1600000000000 22.771500000000
 1961:05  36.449413106400 3.1400000000000 22.771500000000
 1961:06  36.449413106400 3.1400000000000 22.797000000000
 1961:07  36.449413106400 3.1450000000000 22.899000000000
 1961:08  36.449413106400 3.1100000000000 22.873500000000
 1961:09  36.854406585360 3.1250000000000 22.924500000000
 1961:10  36.854406585360 3.1250000000000 22.924500000000
 1961:11  36.854406585360 3.1200000000000 22.924500000000
 1961:12  36.854406585360 3.1200000000000 22.924500000000
 1962:01  38.069387022240 3.0700000000000 22.924500000000
 1962:02  38.879373980160 3.1000000000000 22.975500000000
 1962:03  38.879373980160 3.1100000000000 23.026500000000
 1962:04  37.276485120000 3.0800000000000 23.077500000000
 1962:05  37.276485120000 3.0900000000000 23.077500000000
 1962:06  37.276485120000 3.1000000000000 23.077500000000
 1962:07  37.276485120000 3.0800000000000 23.128500000000
 1962:08  37.276485120000 3.0600000000000 23.128500000000
 1962:09  37.276485120000 3.0700000000000 23.256000000000
 1962:10  37.276485120000 3.0800000000000 23.230500000000
 1962:11  37.276485120000 3.1000000000000 23.230500000000
 1962:12  37.276485120000 3.0800000000000 23.205000000000
 1963:01  37.276485120000 3.0600000000000 23.230500000000
 1963:02  37.276485120000 3.1000000000000 23.256000000000
 1963:03  37.276485120000 3.0950000000000 23.281500000000
 1963:04  37.276485120000 3.0800000000000 23.281500000000
 1963:05  38.829672000000 3.1000000000000 23.281500000000
 1963:06  39.606265440000 3.1100000000000 23.383500000000
 1963:07  39.217968720000 3.1000000000000 23.485500000000
 1963:08  38.829672000000 3.0900000000000 23.485500000000
 1963:09  38.441375280000 3.1000000000000 23.485500000000
 1963:10  38.441375280000 3.1000000000000 23.511000000000
 1963:11  38.053078560000 3.1000000000000 23.536500000000
 1963:12  39.217968720000 3.0900000000000 23.587500000000
 1964:01  39.217968720000 3.1000000000000 23.613000000000
 1964:02  39.217968720000 3.1050000000000 23.587500000000
 1964:03  38.829672000000 3.0950000000000 23.613000000000
 1964:04  38.441375280000 3.1000000000000 23.638500000000
 1964:05  38.441375280000 3.1100000000000 23.638500000000
 1964:06  38.053078560000 3.0950000000000 23.689500000000
 1964:07  38.053078560000 3.1100000000000 23.740500000000
 1964:08  38.441375280000 3.1000000000000 23.715000000000
 1964:09  38.441375280000 3.1100000000000 23.766000000000
 1964:10  38.441375280000 3.2000000000000 23.791500000000
 1964:11  38.441375280000 3.1800000000000 23.842500000000
 1964:12  38.829672000000 3.2000000000000 23.868000000000
 1965:01  38.829672000000 3.2100000000000 23.868000000000
 1965:02  38.829672000000 3.1100000000000 23.868000000000
 1965:03  38.441375280000 3.1200000000000 23.893500000000
 1965:04  38.053078560000 3.1300000000000 23.970000000000
 1965:05  37.276485120000 3.1250000000000 24.021000000000
 1965:06  38.441375280000 3.1300000000000 24.148500000000
 1965:07  38.441375280000 3.1200000000000 24.174000000000
 1965:08  38.441375280000 3.1200000000000 24.123000000000
 1965:09  39.217968720000 3.1000000000000 24.174000000000
 1965:10  38.829672000000 3.1100000000000 24.199500000000
 1965:11  38.441375280000 3.1100000000000 24.250500000000
 1965:12  38.829672000000 3.0950000000000 24.327000000000
 1966:01  38.829672000000 3.1000000000000 24.327000000000
 1966:02  38.829672000000 3.0850000000000 24.480000000000
 1966:03  38.829672000000 3.0800000000000 24.556500000000
 1966:04  38.829672000000 3.1000000000000 24.658500000000
 1966:05  38.829672000000 3.1150000000000 24.684000000000
 1966:06  38.829672000000 3.1150000000000 24.760500000000
 1966:07  38.829672000000 3.1150000000000 24.837000000000
 1966:08  39.217968720000 3.1300000000000 24.964500000000
