 ENTRY         INDCPI          INDEX           USCPI
 1958:01   9.886400000000  5.590000000000 21.853500000000
 1958:02   9.819600000000  5.400000000000 21.879000000000
 1958:03   9.819600000000  5.440000000000 22.032000000000
 1958:04   9.886400000000  5.380000000000 22.083000000000
 1958:05  10.086800000000  5.270000000000 22.083000000000
 1958:06  10.354000000000  5.190000000000 22.108500000000
 1958:07  10.621200000000  5.420000000000 22.134000000000
 1958:08  10.688000000000  5.450000000000 22.108500000000
 1958:09  10.754800000000  5.620000000000 22.108500000000
 1958:10  10.955200000000  5.600000000000 22.108500000000
 1958:11  10.888400000000  5.540000000000 22.134000000000
 1958:12  10.621200000000  5.300000000000 22.108500000000
 1959:01  10.420800000000  5.120000000000 22.134000000000
 1959:02  10.487600000000  5.000000000000 22.108500000000
 1959:03  10.420800000000  5.150000000000 22.108500000000
 1959:04  10.420800000000  5.300000000000 22.134000000000
 1959:05  10.621200000000  5.330000000000 22.159500000000
 1959:06  10.754800000000  5.760000000000 22.261500000000
 1959:07  11.022000000000  5.890000000000 22.312500000000
 1959:08  11.155600000000  5.710000000000 22.287000000000
 1959:09  11.022000000000  5.820000000000 22.363500000000
 1959:10  11.222400000000  6.050000000000 22.440000000000
 1959:11  11.222400000000  6.660000000000 22.440000000000
 1959:12  11.022000000000  7.000000000000 22.440000000000
 1960:01  10.888400000000  6.900000000000 22.414500000000
 1960:02  10.888400000000  7.100000000000 22.440000000000
 1960:03  10.754800000000  7.150000000000 22.440000000000
 1960:04  10.888400000000  7.200000000000 22.567500000000
 1960:05  10.955200000000  7.050000000000 22.567500000000
 1960:06  11.022000000000  7.000000000000 22.618500000000
 1960:07  11.222400000000  7.100000000000 22.618500000000
 1960:08  11.222400000000  7.250000000000 22.618500000000
 1960:09  11.155600000000  7.150000000000 22.644000000000
 1960:10  11.155600000000  7.050000000000 22.746000000000
 1960:11  11.022000000000  7.150000000000 22.771500000000
 1960:12  11.022000000000  7.000000000000 22.771500000000
 1961:01  10.955200000000  6.800000000000 22.771500000000
 1961:02  10.955200000000  7.100000000000 22.771500000000
 1961:03  11.022000000000  7.150000000000 22.771500000000
 1961:04  11.022000000000  7.200000000000 22.771500000000
 1961:05  11.022000000000  7.150000000000 22.771500000000
 1961:06  11.155600000000  7.220000000000 22.797000000000
 1961:07  11.289200000000  7.200000000000 22.899000000000
 1961:08  11.422800000000  7.180000000000 22.873500000000
 1961:09  11.422800000000  7.200000000000 22.924500000000
 1961:10  11.422800000000  7.100000000000 22.924500000000
 1961:11  11.422800000000  7.150000000000 22.924500000000
 1961:12  11.422800000000  7.170000000000 22.924500000000
 1962:01  11.289200000000  7.210000000000 22.924500000000
 1962:02  11.289200000000  7.100000000000 22.975500000000
 1962:03  11.289200000000  7.150000000000 23.026500000000
 1962:04  11.422800000000  7.200000000000 23.077500000000
 1962:05  11.489600000000  7.350000000000 23.077500000000
 1962:06  11.556400000000  7.400000000000 23.077500000000
 1962:07  11.756800000000  7.450000000000 23.128500000000
 1962:08  11.823600000000  7.630000000000 23.128500000000
 1962:09  11.823600000000  7.720000000000 23.256000000000
 1962:10  11.957200000000  7.700000000000 23.230500000000
 1962:11  11.823600000000  7.150000000000 23.230500000000
 1962:12  11.690000000000  7.200000000000 23.205000000000
 1963:01  11.556400000000  7.050000000000 23.230500000000
 1963:02  11.489600000000  6.200000000000 23.256000000000
 1963:03  11.556400000000  6.250000000000 23.281500000000
 1963:04  11.690000000000  6.350000000000 23.281500000000
 1963:05  11.756800000000  6.400000000000 23.281500000000
 1963:06  11.957200000000  6.600000000000 23.383500000000
 1963:07  12.024000000000  7.000000000000 23.485500000000
 1963:08  12.090800000000  7.350000000000 23.485500000000
 1963:09  12.224400000000  7.400000000000 23.485500000000
 1963:10  12.291200000000  7.350000000000 23.511000000000
 1963:11  12.291200000000  7.150000000000 23.536500000000
 1963:12  12.424800000000  7.200000000000 23.587500000000
 1964:01  12.424800000000  7.300000000000 23.613000000000
 1964:02  12.625200000000  7.000000000000 23.587500000000
 1964:03  12.692000000000  7.150000000000 23.613000000000
 1964:04  12.825600000000  7.200000000000 23.638500000000
 1964:05  13.092800000000  7.450000000000 23.638500000000
 1964:06  13.360000000000  8.500000000000 23.689500000000
 1964:07  13.694000000000  8.000000000000 23.740500000000
 1964:08  13.894400000000  8.200000000000 23.715000000000
 1964:09  14.161600000000  8.200000000000 23.766000000000
 1964:10  14.495600000000  8.200000000000 23.791500000000
 1964:11  14.495600000000  8.350000000000 23.842500000000
 1964:12  14.562400000000  8.000000000000 23.868000000000
 1965:01  14.696000000000  7.850000000000 23.868000000000
 1965:02  14.428800000000  8.060000000000 23.868000000000
 1965:03  14.161600000000  8.500000000000 23.893500000000
 1965:04  14.228400000000  8.600000000000 23.970000000000
 1965:05  14.295200000000  9.100000000000 24.021000000000
 1965:06  14.495600000000  9.500000000000 24.148500000000
 1965:07  14.963200000000  9.750000000000 24.174000000000
 1965:08  15.096800000000  9.000000000000 24.123000000000
 1965:09  15.297200000000  8.450000000000 24.174000000000
 1965:10  15.297200000000  8.550000000000 24.199500000000
 1965:11  15.364000000000  9.500000000000 24.250500000000
 1965:12  15.364000000000  9.450000000000 24.327000000000
 1966:01  15.364000000000 10.350000000000 24.327000000000
 1966:02  15.497600000000 10.650000000000 24.480000000000
 1966:03  15.497600000000 11.000000000000 24.556500000000
 1966:04  15.564400000000 11.250000000000 24.658500000000
 1966:05  16.098800000000 11.150000000000 24.684000000000
 1966:06  16.432800000000 12.000000000000 24.760500000000
