 ENTRY         PHLCPI            PHLEX          USCPI
 1958:01   4.128319232100  3.470000000000 21.853500000000
 1958:02   4.128319232100  3.390000000000 21.879000000000
 1958:03   4.049684580060  3.310000000000 22.032000000000
 1958:04   4.089001906080  3.220000000000 22.083000000000
 1958:05   4.128319232100  3.210000000000 22.083000000000
 1958:06   4.128319232100  3.210000000000 22.108500000000
 1958:07   4.167636558120  3.240000000000 22.134000000000
 1958:08   4.128319232100  3.550000000000 22.108500000000
 1958:09   4.167636558120  3.400000000000 22.108500000000
 1958:10   4.206953884140  3.380000000000 22.108500000000
 1958:11   4.206953884140  3.480000000000 22.134000000000
 1958:12   4.167636558120  3.770000000000 22.108500000000
 1959:01   4.128319232100  3.740000000000 22.134000000000
 1959:02   4.089001906080  3.720000000000 22.108500000000
 1959:03   4.049684580060  3.860000000000 22.108500000000
 1959:04   4.010367254040  4.100000000000 22.134000000000
 1959:05   4.010367254040  4.200000000000 22.159500000000
 1959:06   4.010367254040  4.300000000000 22.261500000000
 1959:07   4.089001906080  4.650000000000 22.312500000000
 1959:08   4.128319232100  4.450000000000 22.287000000000
 1959:09   4.167636558120  3.860000000000 22.363500000000
 1959:10   4.167636558120  3.800000000000 22.440000000000
 1959:11   4.167636558120  3.800000000000 22.440000000000
 1959:12   4.206953884140  3.770000000000 22.440000000000
 1960:01   4.167636558120  3.700000000000 22.414500000000
 1960:02   4.167636558120  3.650000000000 22.440000000000
 1960:03   4.167636558120  3.250000000000 22.440000000000
 1960:04   4.128319232100  2.900000000000 22.567500000000
 1960:05   4.167636558120  3.860000000000 22.567500000000
 1960:06   4.246271210160  3.810000000000 22.618500000000
 1960:07   4.285588536180  3.650000000000 22.618500000000
 1960:08   4.403540514240  3.600000000000 22.618500000000
 1960:09   4.442857840260  3.550000000000 22.644000000000
 1960:10   4.482175166280  3.580000000000 22.746000000000
 1960:11   4.442857840260  3.460000000000 22.771500000000
 1960:12   4.364223188220  3.350000000000 22.771500000000
 1961:01   4.285588536180  3.370000000000 22.771500000000
 1961:02   4.285588536180  3.390000000000 22.771500000000
 1961:03   4.285588536180  3.450000000000 22.771500000000
 1961:04   4.246271210160  3.700000000000 22.771500000000
 1961:05   4.246271210160  3.650000000000 22.771500000000
 1961:06   4.285588536180  3.760000000000 22.797000000000
 1961:07   4.364223188220  3.800000000000 22.899000000000
 1961:08   4.403540514240  3.980000000000 22.873500000000
 1961:09   4.442857840260  4.000000000000 22.924500000000
 1961:10   4.403540514240  4.120000000000 22.924500000000
 1961:11   4.442857840260  4.400000000000 22.924500000000
 1961:12   4.442857840260  4.520000000000 22.924500000000
 1962:01   4.403540514240  3.850000000000 22.924500000000
 1962:02   4.482175166280  3.470000000000 22.975500000000
 1962:03   4.442857840260  3.700000000000 23.026500000000
 1962:04   4.451018040000  3.900000000000 23.077500000000
 1962:05   4.492231170000  3.910000000000 23.077500000000
 1962:06   4.492231170000  3.930000000000 23.077500000000
 1962:07   4.492231170000  3.890000000000 23.128500000000
 1962:08   4.615870560000  3.940000000000 23.128500000000
 1962:09   4.739509950000  4.000000000000 23.256000000000
 1962:10   4.698296820000  3.980000000000 23.230500000000
 1962:11   4.698296820000  3.990000000000 23.230500000000
 1962:12   4.698296820000  3.970000000000 23.205000000000
 1963:01   4.657083690000  3.970000000000 23.230500000000
 1963:02   4.657083690000  3.930000000000 23.256000000000
 1963:03   4.657083690000  3.920000000000 23.281500000000
 1963:04   4.657083690000  3.940000000000 23.281500000000
 1963:05   4.698296820000  3.950000000000 23.281500000000
 1963:06   4.780723080000  3.940000000000 23.383500000000
 1963:07   4.821936210000  3.920000000000 23.485500000000
 1963:08   4.821936210000  3.930000000000 23.485500000000
 1963:09   4.945575600000  3.930000000000 23.485500000000
 1963:10   5.069214990000  3.930000000000 23.511000000000
 1963:11   5.028001860000  3.940000000000 23.536500000000
 1963:12   5.069214990000  3.920000000000 23.587500000000
 1964:01   5.069214990000  3.900000000000 23.613000000000
 1964:02   5.069214990000  3.900000000000 23.587500000000
 1964:03   5.069214990000  3.900000000000 23.613000000000
 1964:04   5.069214990000  3.900000000000 23.638500000000
 1964:05   5.069214990000  3.900000000000 23.638500000000
 1964:06   5.110428120000  3.900000000000 23.689500000000
 1964:07   5.316493770000  3.900000000000 23.740500000000
 1964:08   5.357706900000  3.910000000000 23.715000000000
 1964:09   5.275280640000  3.920000000000 23.766000000000
 1964:10   5.316493770000  3.920000000000 23.791500000000
 1964:11   5.357706900000  3.930000000000 23.842500000000
 1964:12   5.522559420000  3.910000000000 23.868000000000
 1965:01   5.440133160000  3.920000000000 23.868000000000
 1965:02   5.357706900000  3.920000000000 23.868000000000
 1965:03   5.275280640000  3.910000000000 23.893500000000
 1965:04   5.192854380000  3.910000000000 23.970000000000
 1965:05   5.151641250000  4.000000000000 24.021000000000
 1965:06   5.769838200000  4.150000000000 24.148500000000
 1965:07   5.687411940000  4.150000000000 24.174000000000
 1965:08   5.687411940000  4.100000000000 24.123000000000
 1965:09   5.687411940000  4.000000000000 24.174000000000
 1965:10   5.811051330000  4.000000000000 24.199500000000
 1965:11   5.687411940000  4.000000000000 24.250500000000
 1965:12   5.769838200000  4.000000000000 24.327000000000
 1966:01   5.604985680000  4.000000000000 24.327000000000
 1966:02   5.563772550000  4.000000000000 24.480000000000
 1966:03   5.440133160000  3.990000000000 24.556500000000
 1966:04   5.481346290000  3.960000000000 24.658500000000
 1966:05   5.563772550000  3.970000000000 24.684000000000
 1966:06   5.769838200000  3.980000000000 24.760500000000
